timestamp,key,mode,device,python,grid_idx,val_auc,val_acc,runtime_sec,status,hp/batch_size,hp/channel_growth,hp/channels_start,hp/class_weighting,hp/conv_blocks,hp/dropout,hp/emb_dim,hp/epochs,hp/grad_clip,hp/kernel_sizes,hp/label_smoothing,hp/learning_rate,hp/loss_fn,hp/optimizer,hp/pooling,hp/scheduler,hp/seed,hp/seq_len,hp/use_batchnorm,hp/vocab_size,hp/weight_decay
2025-09-19T02:58:56.978886+00:00,dfa1f1902adc3a2bf9c6cbed370705ee,scratch,cpu,3.12.4,0,0.8066990291262136,0.6995073891625616,38.26,ok,128,x1.5,160,none,2,0.25,192,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T02:59:21.442288+00:00,a308bf9faf9b2c58c95ee9bd4a089079,scratch,cpu,3.12.4,1,0.8049271844660195,0.7118226600985221,24.45,ok,64,x1.5,160,none,1,0.25,160,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T02:59:56.834564+00:00,71f3f913397379099ddcd5401aa88100,scratch,cpu,3.12.4,2,0.8123543689320387,0.7339901477832512,35.38,ok,128,x1.5,160,none,2,0.2,192,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:00:11.759328+00:00,65c42bf06ba85d9930c2953b3a3f986f,scratch,cpu,3.12.4,3,0.7818689320388349,0.6970443349753694,14.9,ok,64,x1.5,128,none,1,0.2,160,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T03:00:48.096786+00:00,51963eb8f91f39a070e287d1af2bb16d,scratch,cpu,3.12.4,4,0.777233009708738,0.6970443349753694,36.33,ok,64,x1.5,160,none,2,0.2,160,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:00:58.323238+00:00,dcfb596424d57b9dbe2819a1e10f5aa9,scratch,cpu,3.12.4,5,0.797621359223301,0.7463054187192119,10.22,ok,128,x1.5,160,none,1,0.2,128,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:01:18.918367+00:00,4ad5a0a6f03c8cdd8ba29fd6405ad6ed,scratch,cpu,3.12.4,6,0.7984951456310679,0.7118226600985221,20.59,ok,128,x1.5,160,none,1,0.25,192,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:33:03.959524+00:00,04b7576814ce47aa05289a8909984787,scratch,cpu,3.12.4,7,0.7986893203883495,0.6798029556650246,65.41,ok,64,x1.5,128,none,2,0.25,192,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T03:33:35.581071+00:00,51392f9dcdaac893418db37d032600d1,scratch,cpu,3.12.4,8,0.7699514563106796,0.6896551724137931,31.61,ok,128,x1.5,128,none,2,0.25,160,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T03:33:55.327398+00:00,f9cc3a90fead99078b40fc12e64181fe,scratch,cpu,3.12.4,9,0.7917961165048544,0.6428571428571429,19.74,ok,128,x1.5,160,none,2,0.2,160,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:34:11.127508+00:00,c69f4a9d488a0a59084011416007141a,scratch,cpu,3.12.4,10,0.772378640776699,0.7216748768472906,15.79,ok,128,x1.5,128,none,2,0.2,128,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:34:27.555945+00:00,c1ab6b986d650556ae1e959af563e46e,scratch,cpu,3.12.4,11,0.7786165048543688,0.7364532019704434,16.42,ok,64,x1.5,160,none,1,0.25,128,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:34:41.160212+00:00,728b65eb6a46a159e907a9313ad6f5dc,scratch,cpu,3.12.4,12,0.807233009708738,0.7093596059113301,13.6,ok,128,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:34:57.725377+00:00,d99abffb118762cd474340251ca38468,scratch,cpu,3.12.4,13,0.7941019417475729,0.7093596059113301,16.56,ok,128,x1.5,160,none,1,0.2,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
